Time,Tilt,TiltDiff,Pressure,PressureDiff,Status
102626,96.62,18.90,1008.29,0.82,SAFE
102889,83.70,5.99,1008.02,0.55,SAFE
103153,72.02,5.70,1007.82,0.35,SAFE
103416,78.83,1.11,1007.68,0.21,SAFE
103679,104.58,26.87,1007.60,0.12,SAFE
103942,106.61,28.89,1007.53,0.06,SAFE
104205,82.58,4.86,1007.49,0.02,SAFE
104467,63.95,13.76,1007.45,0.02,SAFE
104729,61.83,15.89,1007.45,0.03,SAFE
104991,82.87,5.15,1007.44,0.03,SAFE
105253,96.18,18.46,1007.44,0.03,SAFE
105515,105.01,27.29,1007.44,0.03,SAFE
105777,117.28,39.56,1007.44,0.03,SAFE
106039,126.35,48.64,1007.44,0.03,SAFE
106301,132.73,55.01,1007.43,0.04,SAFE
106563,136.28,58.57,1007.43,0.04,SAFE
106825,138.93,61.21,1007.42,0.06,SAFE
107087,142.53,64.82,1007.40,0.08,SAFE
107349,139.82,62.10,1007.39,0.08,SAFE
107611,131.03,53.32,1007.38,0.10,SAFE
107873,132.79,55.08,1007.38,0.09,SAFE
108135,130.55,52.84,1007.37,0.10,SAFE
108397,117.60,39.89,1007.38,0.10,SAFE
108659,90.46,12.75,1007.37,0.11,SAFE
108921,93.73,16.02,1007.34,0.14,SAFE
109183,111.81,34.09,1007.70,0.23,SAFE
109445,126.49,48.77,1010.33,2.85,SAFE
109707,132.91,55.19,1010.67,3.20,SAFE
109969,132.38,54.66,1009.69,2.22,SAFE
110232,136.17,58.45,1008.98,1.51,SAFE
110495,129.68,51.97,1010.13,2.66,SAFE
110758,125.71,47.99,1011.21,3.74,SAFE
111022,134.99,57.28,1011.91,4.44,SAFE
111285,124.69,46.98,1012.17,4.69,SAFE
111548,104.08,26.37,1010.73,3.26,SAFE
111811,85.10,7.39,1009.70,2.23,ALERT
112074,67.28,10.43,1008.99,1.51,SAFE
112337,77.47,0.25,1008.50,1.03,SAFE
112600,99.18,21.46,1008.14,0.67,SAFE
112863,111.41,33.70,1009.12,1.65,SAFE
113127,120.86,43.14,1010.26,2.79,SAFE
113392,128.40,50.68,1011.13,3.66,SAFE
113657,127.14,49.43,1011.66,4.19,SAFE
113922,124.42,46.70,1010.38,2.91,SAFE
114185,124.13,46.41,1009.45,1.98,SAFE
114448,119.56,41.84,1010.66,3.19,SAFE
114712,113.95,36.23,1012.17,4.70,SAFE
114978,110.91,33.20,1012.98,5.51,SAFE
115245,99.41,21.69,1011.33,3.85,SAFE
115508,79.94,2.23,1010.13,2.66,SAFE
115771,60.69,17.02,1009.31,1.84,SAFE
116034,61.03,16.68,1008.74,1.26,SAFE
116297,93.66,15.94,1009.13,1.66,SAFE
116562,115.89,38.17,1009.69,2.22,SAFE
116827,132.67,54.95,1010.39,2.92,SAFE
117093,144.19,66.47,1011.02,3.55,SAFE
117360,147.37,69.66,1012.25,4.78,SAFE
117626,144.27,66.56,1013.57,6.10,SAFE
117892,115.50,37.79,1014.56,7.08,ALERT
118157,123.05,45.34,1015.28,7.81,ALERT
118423,118.75,41.03,1015.76,8.29,ALERT
118688,111.35,33.64,1016.11,8.64,ALERT
118953,122.61,44.89,1016.47,9.00,ALERT
119218,105.45,27.73,1016.64,9.17,ALERT
119483,126.04,48.32,1016.71,9.23,ALERT
119748,104.16,26.44,1016.74,9.27,ALERT
120013,101.16,23.44,1016.74,9.27,ALERT
120278,103.65,25.94,1016.68,9.21,ALERT
120543,102.22,24.50,1016.64,9.17,ALERT
120808,102.24,24.52,1016.60,9.13,ALERT
121073,120.94,43.22,1016.56,9.09,ALERT
121338,107.64,29.93,1016.51,9.04,ALERT
121603,117.86,40.14,1016.44,8.97,ALERT
121868,98.84,21.13,1016.83,9.36,ALERT
122134,100.87,23.16,1016.86,9.39,ALERT
122399,100.46,22.75,1016.88,9.40,ALERT
122664,91.80,14.08,1016.86,9.39,ALERT
122929,78.34,0.62,1016.77,9.30,SAFE
123194,81.44,3.72,1016.66,9.19,SAFE
123459,95.06,17.34,1016.57,9.10,SAFE
123723,91.93,14.21,1013.83,6.36,SAFE
123985,95.62,17.90,1011.89,4.42,SAFE
124248,86.21,8.49,1010.55,3.08,SAFE
124511,105.91,28.20,1009.60,2.13,SAFE
124774,93.13,15.41,1008.95,1.48,SAFE
125037,71.00,6.72,1008.49,1.02,SAFE
125300,60.24,17.47,1008.16,0.69,SAFE
125563,49.46,28.26,1007.93,0.46,SAFE
125826,57.95,19.77,1007.77,0.30,SAFE
126089,87.60,9.88,1008.93,1.46,SAFE
126353,109.39,31.67,1009.94,2.47,SAFE
126618,120.97,43.25,1010.58,3.11,SAFE
126883,98.20,20.48,1011.21,3.73,SAFE
127148,80.68,2.97,1010.05,2.58,SAFE
127411,86.97,9.26,1009.50,2.03,SAFE
127676,83.09,5.38,1009.34,1.86,SAFE
127942,75.35,2.36,1009.07,1.60,SAFE
128208,91.86,14.14,1008.92,1.45,SAFE
128474,79.15,1.43,1008.77,1.30,SAFE
128739,75.37,2.35,1008.93,1.46,SAFE
129005,95.49,17.77,1008.90,1.43,SAFE
129269,104.28,26.56,1008.66,1.19,SAFE
129534,95.89,18.17,1008.39,0.92,SAFE
129798,114.19,36.48,1008.11,0.64,SAFE
130062,121.74,44.02,1007.81,0.34,SAFE
130326,127.15,49.43,1007.71,0.24,SAFE
130590,119.61,41.90,1007.64,0.16,SAFE
130854,104.00,26.28,1007.59,0.12,SAFE
131119,104.37,26.66,1007.58,0.11,SAFE
131382,90.56,12.85,1007.56,0.09,SAFE
131646,69.60,8.11,1007.66,0.19,SAFE
131910,96.85,19.13,1008.36,0.89,SAFE
132175,114.21,36.49,1008.11,0.64,SAFE
132439,123.31,45.59,1009.23,1.76,SAFE
132704,108.73,31.02,1009.82,2.35,SAFE
132971,87.36,9.64,1010.21,2.74,SAFE
133237,80.76,3.05,1010.55,3.08,SAFE
133503,97.80,20.09,1010.97,3.50,SAFE
133770,98.02,20.30,1012.88,5.41,SAFE
134037,113.18,35.46,1014.95,7.48,SAFE
134303,90.73,13.01,1016.36,8.89,SAFE
134569,87.12,9.40,1017.26,9.79,SAFE
134835,84.18,6.47,1017.95,10.47,SAFE
135101,101.48,23.77,1018.35,10.87,SAFE
135367,98.91,21.19,1018.56,11.09,SAFE
135634,91.78,14.07,1018.63,11.16,SAFE
135901,91.23,13.51,1018.59,11.12,SAFE
136167,97.69,19.98,1018.36,10.89,SAFE
136433,105.45,27.73,1018.11,10.64,SAFE
136699,80.10,2.39,1017.91,10.44,SAFE
136965,75.67,2.05,1017.81,10.34,SAFE
137232,93.72,16.01,1017.17,9.69,SAFE
137497,110.37,32.66,1014.28,6.81,SAFE
137762,126.06,48.34,1012.23,4.76,SAFE
138026,107.83,30.12,1010.81,3.33,SAFE
138290,81.40,3.69,1009.82,2.35,SAFE
138553,80.65,2.94,1009.15,1.67,SAFE
138816,84.92,7.21,1008.66,1.19,SAFE
139079,73.11,4.60,1008.30,0.83,SAFE
139344,90.83,13.11,1008.06,0.59,SAFE
139608,109.76,32.04,1007.86,0.39,SAFE
139872,107.98,30.26,1011.89,4.42,SAFE
140137,96.73,19.01,1015.25,7.78,SAFE
140403,85.62,7.91,1017.81,10.34,SAFE
140670,77.39,0.32,1019.50,12.03,SAFE
140937,70.79,6.93,1018.19,10.71,SAFE
141201,65.01,12.71,1015.03,7.56,SAFE
141466,71.19,6.52,1015.79,8.32,SAFE
141733,83.36,5.65,1016.22,8.75,SAFE
142000,98.20,20.48,1016.40,8.93,SAFE
142267,106.67,28.95,1016.51,9.04,SAFE
142534,123.93,46.21,1016.18,8.70,SAFE
142800,136.82,59.11,1015.41,7.94,SAFE
143066,136.29,58.57,1015.70,8.23,SAFE
143333,129.95,52.24,1013.19,5.72,ALERT
143596,123.22,45.50,1012.38,4.91,ALERT
143860,116.52,38.80,1011.95,4.48,ALERT
144125,108.77,31.05,1011.71,4.23,ALERT
144390,103.54,25.82,1011.48,4.01,ALERT
144656,99.42,21.70,1011.27,3.80,ALERT
144922,113.98,36.26,1011.11,3.63,ALERT
145188,130.78,53.06,1010.97,3.50,ALERT
145454,131.76,54.05,1010.89,3.41,ALERT
145720,142.60,64.88,1010.78,3.31,ALERT
145986,138.73,61.01,1010.71,3.23,ALERT
146253,142.28,64.56,1010.66,3.18,ALERT
146519,133.99,56.28,1010.61,3.14,ALERT
146785,129.76,52.04,1010.60,3.13,ALERT
147051,122.71,45.00,1010.55,3.08,ALERT
147318,113.86,36.15,1010.54,3.07,ALERT
147585,126.62,48.90,1010.53,3.05,ALERT
147852,137.03,59.31,1010.55,3.08,ALERT
148118,113.00,35.29,1010.53,3.06,ALERT
148385,116.97,39.25,1010.51,3.04,ALERT
148652,111.24,33.53,1010.51,3.04,ALERT
148919,104.20,26.49,1010.50,3.03,ALERT
149186,115.88,38.17,1010.46,2.99,ALERT
149453,101.34,23.62,1010.44,2.97,ALERT
149720,118.18,40.47,1010.43,2.96,ALERT
149987,100.53,22.82,1010.39,2.92,ALERT
150255,108.55,30.84,1010.36,2.88,ALERT
150522,114.27,36.56,1010.37,2.90,ALERT
150790,100.26,22.54,1010.38,2.91,ALERT
151058,115.04,37.33,1010.34,2.86,ALERT
151325,127.61,49.89,1010.41,2.93,ALERT
151592,104.36,26.64,1010.41,2.94,ALERT
151858,98.95,21.23,1010.40,2.93,ALERT
152124,101.64,23.92,1010.31,2.83,ALERT
152389,93.18,15.47,1010.05,2.58,ALERT
152653,93.29,15.57,1009.69,2.21,ALERT
152917,79.50,1.78,1008.83,1.36,ALERT
153180,68.14,9.58,1008.42,0.95,SAFE
153443,58.45,19.27,1008.11,0.63,SAFE
153706,51.88,25.84,1008.90,1.43,SAFE
153972,48.37,29.35,1009.89,2.42,SAFE
154238,46.22,31.50,1010.64,3.17,SAFE
154504,44.98,32.74,1011.10,3.63,SAFE
154771,44.14,33.57,1011.19,3.71,SAFE
155036,68.28,9.44,1010.06,2.59,SAFE
155300,64.21,13.51,1009.26,1.78,SAFE
155564,63.31,14.41,1008.69,1.22,SAFE
155827,61.57,16.14,1008.31,0.83,SAFE
156090,56.20,21.52,1008.06,0.59,SAFE
156352,53.11,24.60,1007.86,0.39,SAFE
156614,49.92,27.79,1007.69,0.22,SAFE
156876,48.09,29.63,1007.62,0.15,SAFE
157138,47.57,30.15,1007.57,0.10,SAFE
157400,47.10,30.61,1007.55,0.08,SAFE
157662,46.85,30.87,1007.51,0.03,SAFE
157924,47.04,30.67,1007.48,0.01,SAFE
